Data_Included_Slug,Participant,Session,Scenario,Annotation_Type,Accuracy,Accuracy_Balanced,Precision_Blue,Precision_Green,Precision_Red,Precision_Yellow,Recall_Blue,Recall_Green,Recall_Red,Recall_Yellow,F1score_Blue,F1score_Green,F1score_Red,F1score_Yellow
session_04_01_va_early_fusion,,Session_04_01,va_early_fusion,parents,0.6378,0.25,0.0,0.6387,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7795,0.0,0.0
participant_01_v,Participant_01,,v,parents,0.6491,0.4754,0.5146,0.8583,0.6364,0.6,0.8952,0.5988,0.1795,0.2278,0.6535,0.7055,0.28,0.3303
session_02_02_v,,Session_02_02,v,parents,0.6815,0.521,0.7759,0.6806,0.5714,0.5682,0.5521,0.9146,0.4308,0.1866,0.6452,0.7804,0.4912,0.2809
all_data_v,All data,,v,parents,0.6306,0.4984,0.5314,0.7327,0.5474,0.4411,0.6081,0.7567,0.2373,0.3915,0.5672,0.7445,0.3311,0.4148
session_02_02_va_early_fusion,,Session_02_02,va_early_fusion,parents,0.7051,0.5568,0.8202,0.7145,0.7647,0.5487,0.4479,0.9169,0.4,0.4627,0.5794,0.8031,0.5253,0.502
participant_02_va_early_fusion,Participant_02,,va_early_fusion,parents,0.6386,0.4776,0.7282,0.6346,0.6275,0.5602,0.4967,0.952,0.2162,0.2454,0.5906,0.7616,0.3216,0.3413
session_01_01_v,,Session_01_01,v,parents,0.6502,0.4758,0.5165,0.8564,0.6364,0.6,0.8952,0.6008,0.1795,0.2278,0.6551,0.7062,0.28,0.3303
session_01_01_va_late_fusion,,Session_01_01,va_late_fusion,parents,0.6923,0.4059,0.6202,0.7423,0.0,0.8333,0.7619,0.7984,0.0,0.06329,0.6838,0.7694,0.0,0.1176
session_02_01_a,,Session_02_01,a,parents,0.44,0.25,0.0,0.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6112,0.0,0.0
participant_02_a,Participant_02,,a,parents,0.4994,0.2618,0.0,0.4979,0.7778,0.0,0.0,1.0,0.0473,0.0,0.0,0.6648,0.08917,0.0
session_02_01_va_late_fusion,,Session_02_01,va_late_fusion,parents,0.6607,0.5183,0.95,0.6223,0.6667,0.6517,0.5468,0.9564,0.09639,0.4735,0.6941,0.754,0.1684,0.5485
session_03_02_v,,Session_03_02,v,parents,0.7218,0.6581,0.6595,0.8075,0.8,0.6479,0.6986,0.7827,0.5,0.6509,0.6785,0.7949,0.6154,0.6494
session_04_01_a,,Session_04_01,a,parents,0.6378,0.25,0.0,0.6378,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7788,0.0,0.0
session_03_01_va_early_fusion,,Session_03_01,va_early_fusion,parents,0.779,0.6109,0.7543,0.808,1.0,0.5974,0.7709,0.9028,0.34,0.4299,0.7625,0.8528,0.5075,0.5
session_02_02_va_late_fusion,,Session_02_02,va_late_fusion,parents,0.653,0.4533,0.8654,0.628,0.7632,0.7778,0.2761,0.9865,0.4462,0.1045,0.4186,0.7675,0.5631,0.1842
session_03_02_va_early_fusion,,Session_03_02,va_early_fusion,specialist,0.7096,0.4953,0.8025,0.6976,,0.8571,0.461,0.9861,,0.03871,0.5856,0.8171,,0.07407
participant_01_va_late_fusion,Participant_01,,va_late_fusion,specialist,0.6139,0.3309,0.82,0.5995,0.0,0.6765,0.2216,0.9829,0.0,0.1192,0.3489,0.7448,0.0,0.2026
all_data_va_late_fusion,All data,,va_late_fusion,specialist,0.6435,0.2861,0.7989,0.6376,0.0,0.8214,0.1253,0.9938,0.0,0.02527,0.2167,0.7768,0.0,0.04904
participant_02_va_late_fusion,Participant_02,,va_late_fusion,specialist,0.716,0.2916,0.8689,0.7101,0.0,0.0,0.171,0.9956,0.0,0.0,0.2857,0.829,0.0,0.0
session_01_01_a,,Session_01_01,a,specialist,0.5591,0.2547,0.0,0.5578,0.0,0.8,0.0,0.9981,0.0,0.02073,0.0,0.7156,0.0,0.0404
session_02_01_v,,Session_02_01,v,specialist,0.774,0.3951,0.9091,0.7567,0.0,1.0,0.3922,0.9947,0.0,0.1935,0.5479,0.8595,0.0,0.3243
participant_03_va_late_fusion,Participant_03,,va_late_fusion,specialist,0.711,0.5026,0.8727,0.6868,,0.9474,0.3956,0.9873,,0.125,0.5444,0.8101,,0.2209
participant_02_v,Participant_02,,v,specialist,0.7697,0.3997,0.7418,0.7741,1.0,0.8333,0.5839,0.9547,0.03125,0.02907,0.6534,0.855,0.06061,0.05618
participant_04_va_late_fusion,Participant_04,,va_late_fusion,specialist,0.6282,0.3058,0.8889,0.6154,0.0,0.88,0.05674,0.9952,0.0,0.1712,0.1067,0.7606,0.0,0.2866
session_03_02_a,,Session_03_02,a,specialist,0.6295,0.3333,0.0,0.6295,,0.0,0.0,1.0,,0.0,0.0,0.7727,,0.0
session_04_01_v,,Session_04_01,v,specialist,0.7949,0.7805,0.4862,0.9104,0.68,0.7308,0.8548,0.8724,0.8293,0.5655,0.6199,0.891,0.7473,0.6376
participant_01_va_early_fusion,Participant_01,,va_early_fusion,specialist,0.7004,0.4712,0.85,0.6861,0.5,0.6768,0.4595,0.962,0.1163,0.3472,0.5965,0.8009,0.1887,0.4589
session_01_01_va_early_fusion,,Session_01_01,va_early_fusion,specialist,0.7004,0.4712,0.85,0.6851,0.625,0.67,0.4595,0.962,0.1163,0.3472,0.5965,0.8003,0.1961,0.4573
participant_04_va_early_fusion,Participant_04,,va_early_fusion,specialist,0.6289,0.3324,0.7857,0.6211,0.5556,0.7612,0.03901,0.9881,0.1042,0.1984,0.07432,0.7627,0.1754,0.3148
participant_04_v,Participant_04,,v,specialist,0.7143,0.5624,0.6108,0.7414,0.5556,0.689,0.3617,0.9275,0.5208,0.4397,0.4543,0.8241,0.5376,0.5368
