Data_Included_Slug,Participant,Session,Scenario,Annotation_Type,Accuracy,Accuracy_Balanced,Precision_Blue,Precision_Green,Precision_Red,Precision_Yellow,Recall_Blue,Recall_Green,Recall_Red,Recall_Yellow,F1score_Blue,F1score_Green,F1score_Red,F1score_Yellow
session_04_02_va_late_fusion,,Session_04_02,va_late_fusion,parents,0.6909,0.3909,0.9167,0.69,0.5556,0.6226,0.2222,0.9694,0.1163,0.2558,0.3577,0.8062,0.1923,0.3626
participant_03_va_early_fusion,Participant_03,,va_early_fusion,parents,0.7178,0.6233,0.6879,0.7478,0.7857,0.615,0.6525,0.8863,0.569,0.3856,0.6697,0.8112,0.66,0.474
session_04_02_v,,Session_04_02,v,parents,0.7033,0.4637,0.5893,0.7469,0.5,0.5484,0.3333,0.9168,0.2093,0.3953,0.4258,0.8232,0.2951,0.4595
session_03_01_a,,Session_03_01,a,parents,0.5631,0.2593,0.0,0.5634,0.6667,0.0,0.0,0.998,0.03922,0.0,0.0,0.7202,0.07407,0.0
session_03_01_va_late_fusion,,Session_03_01,va_late_fusion,parents,0.8064,0.669,0.8143,0.8069,0.8857,0.717,0.7533,0.9474,0.62,0.3551,0.7826,0.8715,0.7294,0.475
session_04_01_va_early_fusion,,Session_04_01,va_early_fusion,parents,0.7386,0.521,0.6606,0.7713,0.5714,0.6154,0.4898,0.9087,0.2857,0.4,0.5625,0.8344,0.381,0.4848
participant_01_v,Participant_01,,v,parents,0.7292,0.518,0.7143,0.7379,0.7143,0.697,0.6349,0.8895,0.2564,0.2911,0.6723,0.8067,0.3774,0.4107
session_02_02_v,,Session_02_02,v,parents,0.7014,0.5811,0.768,0.7087,0.5417,0.6809,0.589,0.8966,0.6,0.2388,0.6667,0.7917,0.5693,0.3536
all_data_v,All data,,v,parents,0.6587,0.4845,0.6361,0.6739,0.5767,0.5968,0.4767,0.8983,0.2975,0.2657,0.545,0.7701,0.3925,0.3677
session_02_02_va_early_fusion,,Session_02_02,va_early_fusion,parents,0.7336,0.6327,0.7661,0.745,0.6522,0.6667,0.5828,0.9124,0.6923,0.3433,0.662,0.8202,0.6716,0.4532
participant_02_va_early_fusion,Participant_02,,va_early_fusion,parents,0.6624,0.5459,0.6639,0.6994,0.5714,0.5506,0.5232,0.8941,0.3784,0.3879,0.5852,0.7849,0.4553,0.4551
session_01_01_v,,Session_01_01,v,parents,0.7313,0.5308,0.7143,0.7403,0.75,0.697,0.6349,0.8895,0.3077,0.2911,0.6723,0.8081,0.4364,0.4107
session_01_01_va_late_fusion,,Session_01_01,va_late_fusion,parents,0.7123,0.4554,0.7103,0.7115,0.625,0.8,0.5683,0.9225,0.1282,0.2025,0.6314,0.8034,0.2128,0.3232
session_02_01_a,,Session_02_01,a,parents,0.4436,0.2565,0.0,0.4446,0.0,0.4194,0.0,0.9728,0.0,0.05306,0.0,0.6103,0.0,0.0942
participant_02_a,Participant_02,,a,parents,0.5176,0.3233,0.6667,0.5193,0.6061,0.3023,0.01325,0.9754,0.2703,0.03421,0.02597,0.6778,0.3738,0.06147
session_02_01_va_late_fusion,,Session_02_01,va_late_fusion,parents,0.6835,0.5683,0.8273,0.6985,0.4688,0.6066,0.6547,0.9155,0.1807,0.5224,0.7309,0.7925,0.2609,0.5614
session_03_02_v,,Session_03_02,v,parents,0.7393,0.6287,0.738,0.7646,0.6,0.6907,0.6301,0.8774,0.375,0.6321,0.6798,0.8171,0.4615,0.6601
session_04_01_a,,Session_04_01,a,parents,0.6378,0.25,0.0,0.6378,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7788,0.0,0.0
session_03_01_va_early_fusion,,Session_03_01,va_early_fusion,parents,0.8064,0.6912,0.7554,0.8542,0.8571,0.622,0.7753,0.913,0.6,0.4766,0.7652,0.8826,0.7059,0.5397
session_02_02_va_late_fusion,,Session_02_02,va_late_fusion,parents,0.7063,0.5807,0.8144,0.6942,0.6667,0.6944,0.4847,0.9438,0.7077,0.1866,0.6077,0.8,0.6866,0.2941
session_03_02_va_early_fusion,,Session_03_02,va_early_fusion,specialist,0.7409,0.5826,0.8214,0.7453,,0.6203,0.4894,0.9423,,0.3161,0.6133,0.8323,,0.4188
participant_01_va_late_fusion,Participant_01,,va_late_fusion,specialist,0.7405,0.5476,0.8295,0.7155,0.8333,0.7885,0.5784,0.9545,0.2326,0.4249,0.6815,0.8179,0.3636,0.5522
all_data_va_late_fusion,All data,,va_late_fusion,specialist,0.7076,0.4201,0.8425,0.6934,0.6897,0.746,0.3374,0.977,0.1626,0.2033,0.4819,0.8111,0.2632,0.3195
participant_02_va_late_fusion,Participant_02,,va_late_fusion,specialist,0.78,0.4241,0.8881,0.7663,0.5,0.9459,0.4097,0.9894,0.09375,0.2035,0.5607,0.8637,0.1579,0.3349
session_01_01_a,,Session_01_01,a,specialist,0.5791,0.3266,0.4578,0.6206,0.0,0.3774,0.2054,0.8937,0.0,0.2073,0.2836,0.7325,0.0,0.2676
session_02_01_v,,Session_02_01,v,specialist,0.8438,0.5771,0.8209,0.8655,0.375,0.7241,0.719,0.9613,0.1765,0.4516,0.7666,0.9109,0.24,0.5563
participant_03_va_late_fusion,Participant_03,,va_late_fusion,specialist,0.7509,0.5826,0.863,0.7277,,0.8315,0.5192,0.9717,,0.2569,0.6484,0.8322,,0.3926
participant_02_v,Participant_02,,v,specialist,0.7952,0.5087,0.7439,0.8065,0.5833,0.8,0.5903,0.9468,0.2188,0.2791,0.6583,0.871,0.3182,0.4138
participant_04_va_late_fusion,Participant_04,,va_late_fusion,specialist,0.7157,0.4904,0.7731,0.7056,0.7333,0.7436,0.3262,0.9548,0.2292,0.4514,0.4589,0.8115,0.3492,0.5617
session_03_02_a,,Session_03_02,a,specialist,0.6295,0.3333,0.0,0.6295,,0.0,0.0,1.0,,0.0,0.0,0.7727,,0.0
session_04_01_v,,Session_04_01,v,specialist,0.8234,0.7247,0.8043,0.8565,0.8529,0.7226,0.5968,0.9281,0.7073,0.6667,0.6852,0.8909,0.7733,0.6935
participant_01_va_early_fusion,Participant_01,,va_early_fusion,specialist,0.7616,0.6422,0.7389,0.793,0.7692,0.6687,0.627,0.9013,0.4651,0.5751,0.6784,0.8437,0.5797,0.6184
session_01_01_va_early_fusion,,Session_01_01,va_early_fusion,specialist,0.7605,0.64,0.7419,0.7907,0.7692,0.6667,0.6216,0.9032,0.4651,0.5699,0.6765,0.8432,0.5797,0.6145
participant_04_va_early_fusion,Participant_04,,va_early_fusion,specialist,0.7136,0.537,0.6162,0.7604,0.6522,0.5974,0.4043,0.8942,0.3125,0.537,0.4882,0.8219,0.4225,0.5656
participant_04_v,Participant_04,,v,specialist,0.7465,0.6057,0.6602,0.789,0.6111,0.6652,0.4823,0.9025,0.4583,0.5798,0.5574,0.8419,0.5238,0.6195
session_02_01_va_early_fusion,,Session_02_01,va_early_fusion,specialist,0.8305,0.5678,0.8475,0.8431,0.5714,0.6842,0.6536,0.9631,0.2353,0.4194,0.738,0.8991,0.3333,0.52
participant_03_a,Participant_03,,a,specialist,0.6091,0.3326,0.5,0.6106,,0.0,0.002747,0.9951,,0.0,0.005464,0.7569,,0.0
all_data_va_early_fusion,All data,,va_early_fusion,specialist,0.7099,0.4725,0.6972,0.7268,0.5357,0.5871,0.4198,0.9262,0.2439,0.3,0.5241,0.8144,0.3352,0.3971
session_04_02_va_early_fusion,,Session_04_02,va_early_fusion,specialist,0.7039,0.5381,0.6686,0.7273,0.5,0.6377,0.5136,0.8585,0.2857,0.4944,0.581,0.7875,0.3636,0.557
session_04_02_a,,Session_04_02,a,specialist,0.5598,0.2545,0.36,0.5671,0.0,0.5,0.04091,0.9659,0.0,0.01124,0.07347,0.7147,0.0,0.02198
session_03_01_v,,Session_03_01,v,specialist,0.8339,0.7469,0.8652,0.8251,,0.8316,0.6906,0.956,,0.594,0.7681,0.8857,,0.693
participant_01_a,Participant_01,,a,specialist,0.5791,0.3266,0.4578,0.6206,0.0,0.3774,0.2054,0.8937,0.0,0.2073,0.2836,0.7325,0.0,0.2676
session_02_02_a,,Session_02_02,a,specialist,0.684,0.2818,0.4286,0.6987,0.0,0.3846,0.03822,0.9624,0.0,0.1266,0.07018,0.8096,0.0,0.1905
all_data_a,All data,,a,specialist,0.6191,0.2591,0.3462,0.624,0.0,0.3978,0.007888,0.9881,0.0,0.04061,0.01542,0.7649,0.0,0.07371
session_03_02_va_late_fusion,,Session_03_02,va_late_fusion,specialist,0.7534,0.5824,0.8889,0.7376,,0.7455,0.5106,0.9722,,0.2645,0.6486,0.8388,,0.3905
participant_03_v,Participant_03,,v,specialist,0.7718,0.6408,0.8244,0.7658,,0.7303,0.5934,0.9435,,0.3854,0.6901,0.8454,,0.5045
participant_04_a,Participant_04,,a,specialist,0.5888,0.2513,0.0,0.5891,0.0,0.6667,0.0,0.9976,0.0,0.007752,0.0,0.7407,0.0,0.01533
session_04_01_va_late_fusion,,Session_04_01,va_late_fusion,specialist,0.7877,0.6254,0.8611,0.795,0.8077,0.7317,0.5,0.9536,0.5122,0.5357,0.6327,0.8671,0.6269,0.6186
session_04_02_va_late_fusion,,Session_04_02,va_late_fusion,specialist,0.7245,0.5321,0.771,0.7079,0.6667,0.7843,0.4591,0.9341,0.2857,0.4494,0.5755,0.8055,0.4,0.5714
