Data_Included_Slug,Participant,Session,Scenario,Annotation_Type,Accuracy,Accuracy_Balanced,Precision_Blue,Precision_Green,Precision_Red,Precision_Yellow,Recall_Blue,Recall_Green,Recall_Red,Recall_Yellow,F1score_Blue,F1score_Green,F1score_Red,F1score_Yellow
session_04_01_va_early_fusion,,Session_04_01,va_early_fusion,parents,0.6392,0.2814,0.0,0.6508,0.0,0.4,0.0,0.9755,0.0,0.15,0.0,0.7807,0.0,0.2182
participant_01_v,Participant_01,,v,parents,0.6913,0.4452,0.6779,0.703,0.375,0.6452,0.5746,0.876,0.07692,0.2532,0.622,0.78,0.1277,0.3636
session_02_02_v,,Session_02_02,v,parents,0.6456,0.4361,0.7381,0.6305,0.7143,0.6667,0.3804,0.9393,0.2308,0.194,0.502,0.7545,0.3488,0.3006
all_data_v,All data,,v,parents,0.5426,0.2515,0.5556,0.5427,0.0,0.0,0.007639,0.9984,0.0,0.0,0.01507,0.7032,0.0,0.0
session_02_02_va_early_fusion,,Session_02_02,va_early_fusion,parents,0.5551,0.2858,0.0,0.5624,0.5,0.1,0.0,0.982,0.1538,0.007463,0.0,0.7152,0.2353,0.01389
participant_02_va_early_fusion,Participant_02,,va_early_fusion,parents,0.6575,0.5426,0.695,0.6901,0.5701,0.5426,0.4603,0.8941,0.4122,0.4037,0.5538,0.779,0.4784,0.4629
session_01_01_v,,Session_01_01,v,parents,0.6902,0.4364,0.6766,0.7008,0.2857,0.6786,0.5778,0.876,0.05128,0.2405,0.6233,0.7786,0.08696,0.3551
session_01_01_va_late_fusion,,Session_01_01,va_late_fusion,parents,0.6828,0.4007,0.686,0.6821,0.3333,0.7333,0.527,0.9109,0.02564,0.1392,0.5961,0.7801,0.04762,0.234
session_02_01_a,,Session_02_01,a,parents,0.4388,0.2503,0.0,0.44,0.0,0.3333,0.0,0.9891,0.0,0.01224,0.0,0.6091,0.0,0.02362
participant_02_a,Participant_02,,a,parents,0.4945,0.2497,0.0,0.4951,0.0,0.0,0.0,0.9988,0.0,0.0,0.0,0.6621,0.0,0.0
session_02_01_va_late_fusion,,Session_02_01,va_late_fusion,parents,0.6775,0.5606,0.8,0.6878,0.5172,0.6098,0.6331,0.9183,0.1807,0.5102,0.7068,0.7865,0.2679,0.5556
session_03_02_v,,Session_03_02,v,parents,0.6454,0.5484,0.6043,0.6818,0.6,0.5964,0.516,0.8357,0.375,0.467,0.5567,0.7509,0.4615,0.5238
session_04_01_a,,Session_04_01,a,parents,0.6378,0.25,0.0,0.6378,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7788,0.0,0.0
session_03_01_va_early_fusion,,Session_03_01,va_early_fusion,parents,0.8144,0.7125,0.7662,0.8577,0.8462,0.6543,0.7797,0.915,0.66,0.4953,0.7729,0.8854,0.7416,0.5638
session_02_02_va_late_fusion,,Session_02_02,va_late_fusion,parents,0.6047,0.329,0.7833,0.5881,0.0,0.7778,0.2883,0.9753,0.0,0.05224,0.4215,0.7337,0.0,0.0979
session_03_02_va_early_fusion,,Session_03_02,va_early_fusion,specialist,0.6283,0.3378,0.4286,0.6301,,0.0,0.02128,0.992,,0.0,0.04054,0.7707,,0.0
participant_01_va_late_fusion,Participant_01,,va_late_fusion,specialist,0.6603,0.4425,0.7308,0.6393,0.8,0.8,0.4108,0.945,0.186,0.228,0.526,0.7626,0.3019,0.3548
all_data_va_late_fusion,All data,,va_late_fusion,specialist,0.6183,0.25,0.0,0.6183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7641,0.0,0.0
participant_02_va_late_fusion,Participant_02,,va_late_fusion,specialist,0.7556,0.3582,0.8603,0.7466,0.0,0.8,0.3774,0.9858,0.0,0.06977,0.5247,0.8497,0.0,0.1283
session_01_01_a,,Session_01_01,a,specialist,0.5559,0.25,0.0,0.5559,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7146,0.0,0.0
session_02_01_v,,Session_02_01,v,specialist,0.8522,0.6003,0.837,0.8714,0.4444,0.7414,0.7386,0.9649,0.2353,0.4624,0.7847,0.9158,0.3077,0.5695
participant_03_va_late_fusion,Participant_03,,va_late_fusion,specialist,0.7509,0.5844,0.861,0.7336,,0.74,0.5275,0.9688,,0.2569,0.6542,0.8349,,0.3814
participant_02_v,Participant_02,,v,specialist,0.7636,0.4346,0.6996,0.7758,0.5556,0.76,0.5258,0.9459,0.1562,0.1105,0.6004,0.8525,0.2439,0.1929
participant_04_va_late_fusion,Participant_04,,va_late_fusion,specialist,0.5917,0.2541,0.8333,0.5907,0.0,0.0,0.01773,0.9988,0.0,0.0,0.03472,0.7424,0.0,0.0
session_03_02_a,,Session_03_02,a,specialist,0.6295,0.3333,0.0,0.6295,,0.0,0.0,1.0,,0.0,0.0,0.7727,,0.0
session_04_01_v,,Session_04_01,v,specialist,0.6239,0.274,0.8333,0.6205,0.0,1.0,0.08065,0.9977,0.0,0.01786,0.1471,0.7651,0.0,0.03509
participant_01_va_early_fusion,Participant_01,,va_early_fusion,specialist,0.7215,0.5592,0.6993,0.7585,0.7059,0.6048,0.5405,0.8937,0.2791,0.5233,0.6098,0.8206,0.4,0.5611
session_01_01_va_early_fusion,,Session_01_01,va_early_fusion,specialist,0.7205,0.5587,0.6993,0.7581,0.6667,0.6048,0.5405,0.8918,0.2791,0.5233,0.6098,0.8195,0.3934,0.5611
participant_04_va_early_fusion,Participant_04,,va_early_fusion,specialist,0.5931,0.2608,0.4815,0.5951,0.0,0.6667,0.0461,0.9893,0.0,0.007782,0.08414,0.7432,0.0,0.01538
participant_04_v,Participant_04,,v,specialist,0.5924,0.2599,0.48,0.5943,0.0,0.6667,0.04255,0.9893,0.0,0.007782,0.07818,0.7425,0.0,0.01538
session_02_01_va_early_fusion,,Session_02_01,va_early_fusion,specialist,0.7909,0.5578,0.7273,0.8157,0.4706,0.6875,0.5752,0.949,0.4706,0.2366,0.6423,0.8773,0.4706,0.352
participant_03_a,Participant_03,,a,specialist,0.6114,0.3333,0.0,0.6114,,0.0,0.0,1.0,,0.0,0.0,0.7589,,0.0
all_data_va_early_fusion,All data,,va_early_fusion,specialist,0.6183,0.25,0.0,0.6183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7641,0.0,0.0
session_04_02_va_early_fusion,,Session_04_02,va_early_fusion,specialist,0.551,0.2461,0.0,0.562,0.0,0.1111,0.0,0.9732,0.0,0.01124,0.0,0.7125,0.0,0.02041
session_04_02_a,,Session_04_02,a,specialist,0.5626,0.2607,0.3704,0.569,0.0,0.75,0.04545,0.9635,0.0,0.03371,0.08097,0.7154,0.0,0.06452
session_03_01_v,,Session_03_01,v,specialist,0.802,0.6924,0.8229,0.8016,,0.7619,0.6457,0.9503,,0.4812,0.7236,0.8696,,0.5899
participant_01_a,Participant_01,,a,specialist,0.5559,0.25,0.0,0.5559,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7146,0.0,0.0
session_02_02_a,,Session_02_02,a,specialist,0.6901,0.25,0.0,0.6901,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8167,0.0,0.0
